,Budget,Profit
321,120000000,-30978265
322,31000000,-30915039
323,31000000,-30915039
324,60000000,-30863374
325,84000000,-30784021
326,32000000,-30695163
327,70000000,-30619558
328,150000000,-30579748
329,35000000,-30573703
330,90000000,-30524377
331,37000000,-30517805
332,35000000,-30503417
333,40000000,-30410125
334,50000000,-30406260
335,35000000,-30348023
336,40000000,-30348000
337,38000000,-30340253
338,57000000,-30161611
339,55000000,-29959707
340,60000000,-29936195
341,62000000,-29821223
342,58000000,-29671868
343,85000000,-29649103
344,75000000,-29643614
345,50000000,-29610033
346,38000000,-29593736
347,75000000,-29565557
348,50000000,-29511421
349,30000000,-29500737
350,45000000,-29476832
351,30000000,-29462420
352,93000000,-29459980
353,50000000,-29449288
354,40000000,-29359355
355,95000000,-29346242
356,60000000,-29304773
357,90000000,-29125385
358,30300000,-29103248
359,32000000,-29100030
360,35000000,-29067940
361,70000000,-29067628
362,36000000,-29000000
363,52000000,-28979512
364,29000000,-28935714
365,140000000,-28889425
366,60000000,-28888740
367,60000000,-28834579
368,42000000,-28791977
369,52000000,-28675334
370,35000000,-28551183
371,60000000,-28505730
372,32000000,-28437251
373,58000000,-28419913
374,35000000,-28407897
375,49900000,-28342760
376,60000000,-28329069
377,65000000,-28169943
378,31000000,-28159583
379,30000000,-28134226
380,75000000,-27999515
381,85000000,-27989147
382,53000000,-27968963
383,60000000,-27877751
384,40000000,-27818516
385,70000000,-27805940
386,70000000,-27727253
387,38000000,-27700000
388,45000000,-27699111
389,35000000,-27541731
390,50000000,-27481675
391,60000000,-27477648
392,34000000,-27456806
393,100000000,-27339971
394,100000000,-27339971
395,28000000,-27330724
396,75000000,-27251390
397,30000000,-27130631
398,60000000,-27059493
399,60000000,-27059493
400,35000000,-27051841
401,30000000,-27024351
402,58000000,-26800785
403,35000000,-26675252
404,40000000,-26623494
405,70000000,-26573039
406,88000000,-26355679
407,42000000,-26261368
408,40000000,-26161870
409,30000000,-26095018
410,65000000,-26033943
411,45000000,-26003245
412,50000000,-25993274
413,63000000,-25976605
414,144000000,-25900341
415,144000000,-25900341
416,50000000,-25872105
417,42000000,-25747235
418,27000000,-25739083
419,30000000,-25643000
420,40000000,-25641967
421,45000000,-25622273
422,40000000,-25551411
423,30000000,-25536708
424,25500000,-25458771
425,90000000,-25314641
426,45000000,-25280070
427,40000000,-25057578
428,40000000,-25032818
429,25000000,-24995244
430,25000000,-24977277
431,100000000,-24969837
432,25000000,-24943308
433,35000000,-24923864
434,25000000,-24922769
435,60000000,-24903810
436,45000000,-24898139
437,50000000,-24878709
438,25000000,-24865096
439,35000000,-24862498
440,35000000,-24860746
441,175000000,-24832370
442,25000000,-24816338
443,35000000,-24785987
444,60000000,-24768635
445,28000000,-24745828
446,35000000,-24731154
447,40000000,-24720320
448,30000000,-24700000
449,45000000,-24697039
450,33000000,-24673965
451,92000000,-24655608
452,45000000,-24599087
453,50000000,-24592750
454,50000000,-24549473
455,110000000,-24536691
456,35000000,-24500032
457,35000000,-24500032
458,80000000,-24326667
459,25000000,-24282247
460,27000000,-24224407
461,25000000,-24222577
462,25000000,-24128473
463,25000000,-24123329
464,35000000,-24043621
465,40000000,-24037529
466,35000000,-24008619
467,45000000,-23990820
468,24000000,-23979782
469,60000000,-23962091
470,24000000,-23957120
471,55000000,-23948874
472,25000000,-23910635
473,125000000,-23839471
474,25000000,-23813043
475,50000000,-23800483
476,60000000,-23720770
477,40000000,-23676031
478,36000000,-23660367
479,35000000,-23594175
480,50000000,-23557749
481,25000000,-23487185
482,50000000,-23463880
483,25000000,-23450000
484,28000000,-23445431
485,150000000,-23402879
486,42000000,-23399089
487,35000000,-23368755
488,34000000,-23345419
489,34000000,-23345419
490,80000000,-23315181
491,75000000,-23185810
492,24000000,-23117290
493,29000000,-23100203
494,178000000,-23014913
495,36000000,-22947259
496,50000000,-22932840
497,28000000,-22795993
498,100000000,-22777816
499,34000000,-22772060
500,29000000,-22698869
501,33000000,-22673938
502,65000000,-22654469
503,70000000,-22620910
504,30000000,-22556993
505,70000000,-22543550
506,44000000,-22528315
507,27000000,-22523765
508,60000000,-22520222
509,150000000,-22509198
510,85000000,-22505025
511,130000000,-22496684
512,28000000,-22467699
513,66000000,-22431493
514,50000000,-22332053
515,26000000,-22324928
516,100000000,-22320362
517,23000000,-22236956
518,115000000,-21949883
519,25000000,-21926608
520,35000000,-21898858
521,22000000,-21878028
522,50000000,-21866841
523,95000000,-21790660
524,85000000,-21775151
525,35000000,-21735014
526,36000000,-21621647
527,35000000,-21598317
528,35000000,-21598317
529,70000000,-21569645
530,40000000,-21561851
531,55000000,-21527150
532,25000000,-21482203
533,65000000,-21467706
534,30000000,-21464425
535,90000000,-21441338
536,100000000,-21383311
537,120000000,-21219958
538,55000000,-21171682
539,50000000,-21162885
540,42000000,-21084535
541,65000000,-21017158
542,65000000,-21017158
543,28000000,-21001676
544,21000000,-20984407
545,22000000,-20949555
546,25000000,-20935667
547,22000000,-20924712
548,55000000,-20901437
549,40000000,-20881753
550,40000000,-20848136
551,55000000,-20761389
552,38000000,-20694789
553,45000000,-20656327
554,45000000,-20656327
555,40000000,-20593594
556,26000000,-20540176
557,21000000,-20519686
558,45000000,-20479108
559,35000000,-20412268
560,23000000,-20291812
561,100000000,-20288322
562,22000000,-20203976
